"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 10:49:58 EEST 2024","Sun Jun 02 10:50:02 EEST 2024","3684","chromium","tests/usePageObject.spec.ts","","","","parametrized methods @smoke @regression",""
"passed","Sun Jun 02 10:49:52 EEST 2024","Sun Jun 02 10:49:58 EEST 2024","5875","chromium","tests/usePageObject.spec.ts","","","","navigate to form page @smoke",""
